orientador,topic,topic_label,years,slope_per_year,p_first,p_last
"BAPTISTA, Cláudio de Souza.",2,2_alunos_computao_programao_sistema,3,-0.004120879120879123,0.05,0.038461538461538464
"BAPTISTA, Cláudio de Souza.",10,10_oratio_projeto_solid_clean,3,-0.004120879120879123,0.05,0.038461538461538464
"BAPTISTA, Cláudio de Souza.",11,topic_11,3,-0.004120879120879123,0.05,0.038461538461538464
"MONTEIRO, João Arthur Brunet.",8,8_dados_meio_aplicativos_anlise,3,-0.004166666666666668,0.05,0.041666666666666664
"MONTEIRO, João Arthur Brunet.",9,9_ensino_alunos_atividades_evaso,3,-0.004166666666666668,0.05,0.041666666666666664
"MONTEIRO, João Arthur Brunet.",10,10_oratio_projeto_solid_clean,3,-0.004166666666666668,0.05,0.041666666666666664
"MONTEIRO, João Arthur Brunet.",11,topic_11,3,-0.004166666666666668,0.05,0.041666666666666664
"MONTEIRO, João Arthur Brunet.",2,2_alunos_computao_programao_sistema,3,-0.004166666666666676,0.05,0.041666666666666664
"ARAÚJO, Joseana Macêdo Fechine Régis de.",3,3_software_projetos_cdigo_bugs,2,-0.004545454545454545,0.05,0.045454545454545456
"ARAÚJO, Joseana Macêdo Fechine Régis de.",4,4_dados_digital_sobre_privacidade,2,-0.004545454545454545,0.05,0.045454545454545456
"ARAÚJO, Joseana Macêdo Fechine Régis de.",6,6_software_empresas_objetivo_vulnerabilidades,2,-0.004545454545454545,0.05,0.045454545454545456
"ARAÚJO, Joseana Macêdo Fechine Régis de.",7,7_dados_logs_sistemas_banco,2,-0.004545454545454545,0.05,0.045454545454545456
"ARAÚJO, Joseana Macêdo Fechine Régis de.",8,8_dados_meio_aplicativos_anlise,2,-0.004545454545454545,0.05,0.045454545454545456
"ARAÚJO, Joseana Macêdo Fechine Régis de.",10,10_oratio_projeto_solid_clean,2,-0.004545454545454545,0.05,0.045454545454545456
"ARAÚJO, Joseana Macêdo Fechine Régis de.",11,topic_11,2,-0.004545454545454545,0.05,0.045454545454545456
"GOMES, Herman Martins.",4,4_dados_digital_sobre_privacidade,4,-0.004990723562152133,0.05,0.045454545454545456
"SILVA, Thiago Emmanuel Pereira da Cunha.",2,2_alunos_computao_programao_sistema,3,-0.005050505050505047,0.05555555555555555,0.045454545454545456
"SILVA, Thiago Emmanuel Pereira da Cunha.",3,3_software_projetos_cdigo_bugs,3,-0.005050505050505047,0.05555555555555555,0.045454545454545456
"SILVA, Thiago Emmanuel Pereira da Cunha.",4,4_dados_digital_sobre_privacidade,3,-0.005050505050505047,0.05555555555555555,0.045454545454545456
"SILVA, Thiago Emmanuel Pereira da Cunha.",5,5_sade_animais_pandemia_dados,3,-0.005050505050505047,0.05555555555555555,0.045454545454545456
"SILVA, Thiago Emmanuel Pereira da Cunha.",6,6_software_empresas_objetivo_vulnerabilidades,3,-0.005050505050505047,0.05555555555555555,0.045454545454545456
"SILVA, Thiago Emmanuel Pereira da Cunha.",8,8_dados_meio_aplicativos_anlise,3,-0.005050505050505047,0.05555555555555555,0.045454545454545456
"SILVA, Thiago Emmanuel Pereira da Cunha.",9,9_ensino_alunos_atividades_evaso,3,-0.005050505050505047,0.05555555555555555,0.045454545454545456
"SILVA, Thiago Emmanuel Pereira da Cunha.",11,topic_11,3,-0.005050505050505047,0.05555555555555555,0.045454545454545456
"SILVA, Thiago Emmanuel Pereira da Cunha.",0,0_modelos_dados_linguagem_imagens,3,-0.005050505050505052,0.05555555555555555,0.045454545454545456
"SILVA, Thiago Emmanuel Pereira da Cunha.",7,7_dados_logs_sistemas_banco,3,-0.005050505050505052,0.05555555555555555,0.045454545454545456
"SILVA, Thiago Emmanuel Pereira da Cunha.",10,10_oratio_projeto_solid_clean,3,-0.005050505050505052,0.05555555555555555,0.045454545454545456
"CAMPOS, Lívia Maria Rodrigues Sampaio.",1,1_nuvem_recursos_dados_sistema,3,-0.007936507936507936,0.05555555555555555,0.05555555555555555
"CAMPOS, Lívia Maria Rodrigues Sampaio.",4,4_dados_digital_sobre_privacidade,3,-0.007936507936507936,0.05555555555555555,0.05555555555555555
"BRITO, Andrey Elísio Monteiro.",2,2_alunos_computao_programao_sistema,3,-0.008333333333333323,0.16666666666666666,0.15
"PIRES, Carlos Eduardo Santos.",7,7_dados_logs_sistemas_banco,2,-0.00833333333333333,0.16666666666666666,0.15
"BAPTISTA, Cláudio de Souza.",5,5_sade_animais_pandemia_dados,3,-0.011263736263736264,0.05,0.038461538461538464
"MASSONI, Tiago Lima.",9,9_ensino_alunos_atividades_evaso,4,-0.013183760683760681,0.041666666666666664,0.038461538461538464
"ARAÚJO, Joseana Macêdo Fechine Régis de.",5,5_sade_animais_pandemia_dados,2,-0.01363636363636364,0.15,0.13636363636363635
"GOMES, Herman Martins.",1,1_nuvem_recursos_dados_sistema,4,-0.030705009276437847,0.15,0.045454545454545456
"CAMPOS, Lívia Maria Rodrigues Sampaio.",0,0_modelos_dados_linguagem_imagens,3,-0.03174603174603175,0.16666666666666666,0.05555555555555555
"CAMPOS, Lívia Maria Rodrigues Sampaio.",3,3_software_projetos_cdigo_bugs,3,-0.03174603174603175,0.16666666666666666,0.05555555555555555
"CAMPELO, Claudio Elízio Calazans.",6,6_software_empresas_objetivo_vulnerabilidades,4,-0.031874999999999994,0.15,0.05
"CAMPELO, Claudio Elízio Calazans.",7,7_dados_logs_sistemas_banco,4,-0.031874999999999994,0.15,0.05
"BAPTISTA, Cláudio de Souza.",3,3_software_projetos_cdigo_bugs,3,-0.03269230769230771,0.15,0.038461538461538464
"BAPTISTA, Cláudio de Souza.",9,9_ensino_alunos_atividades_evaso,3,-0.03269230769230771,0.15,0.038461538461538464
"CAMPELO, Claudio Elízio Calazans.",2,2_alunos_computao_programao_sistema,4,-0.035625,0.15,0.05
"MOURA, José Antão Beltrão.",0,0_modelos_dados_linguagem_imagens,3,-0.037499999999999985,0.125,0.05
"MOURA, José Antão Beltrão.",2,2_alunos_computao_programao_sistema,3,-0.037499999999999985,0.125,0.05
"MOURA, José Antão Beltrão.",7,7_dados_logs_sistemas_banco,3,-0.037499999999999985,0.125,0.05
"RAMALHO, Franklin de Souza.",0,0_modelos_dados_linguagem_imagens,3,-0.03968253968253968,0.16666666666666666,0.05555555555555555
"RAMALHO, Franklin de Souza.",10,10_oratio_projeto_solid_clean,3,-0.03968253968253968,0.16666666666666666,0.05555555555555555
"BAPTISTA, Cláudio de Souza.",4,4_dados_digital_sobre_privacidade,3,-0.03983516483516484,0.15,0.038461538461538464
"MORAIS, Fábio Jorge Almeida.",2,2_alunos_computao_programao_sistema,2,-0.05208333333333331,0.09375,0.041666666666666664
"MORAIS, Fábio Jorge Almeida.",8,8_dados_meio_aplicativos_anlise,2,-0.05208333333333331,0.09375,0.041666666666666664
"MONTEIRO, João Arthur Brunet.",1,1_nuvem_recursos_dados_sistema,3,-0.05416666666666665,0.15,0.041666666666666664
"BRITO, Andrey Elísio Monteiro.",4,4_dados_digital_sobre_privacidade,3,-0.0583333333333333,0.16666666666666666,0.05
"BRITO, Andrey Elísio Monteiro.",7,7_dados_logs_sistemas_banco,3,-0.0583333333333333,0.16666666666666666,0.05
"PIRES, Carlos Eduardo Santos.",2,2_alunos_computao_programao_sistema,2,-0.0583333333333333,0.16666666666666666,0.05
"PIRES, Carlos Eduardo Santos.",9,9_ensino_alunos_atividades_evaso,2,-0.0583333333333333,0.16666666666666666,0.05
"BRUNET, João Arthur Monteiro.",2,2_alunos_computao_programao_sistema,2,-0.05982905982905982,0.11538461538461539,0.05555555555555555
"GOMES, Herman Martins.",10,10_oratio_projeto_solid_clean,4,-0.07927643784786638,0.35,0.045454545454545456
"GHEYI, Rohit.",10,10_oratio_projeto_solid_clean,2,-0.0847222222222222,0.3888888888888889,0.05
"MONTEIRO, João Arthur Brunet.",4,4_dados_digital_sobre_privacidade,3,-0.10416666666666662,0.25,0.041666666666666664
"MORAIS, Fábio Jorge Almeida.",7,7_dados_logs_sistemas_banco,2,-0.11458333333333326,0.15625,0.041666666666666664
"MASSONI, Tiago Lima.",3,3_software_projetos_cdigo_bugs,4,-0.11762820512820509,0.375,0.038461538461538464
"BRUNET, João Arthur Monteiro.",1,1_nuvem_recursos_dados_sistema,2,-0.13675213675213674,0.19230769230769232,0.05555555555555555
"BRUNET, João Arthur Monteiro.",6,6_software_empresas_objetivo_vulnerabilidades,2,-0.13675213675213674,0.19230769230769232,0.05555555555555555
"MORAIS, Fábio Jorge Almeida.",1,1_nuvem_recursos_dados_sistema,2,-0.15624999999999994,0.28125,0.125
"ARAÚJO, Joseana Macêdo Fechine Régis de.",1,1_nuvem_recursos_dados_sistema,2,-0.20454545454545442,0.25,0.045454545454545456
