topic,topic_label,orientador,P_orientador_given_topic,n_docs_topic,n_docs_orientador_assigned
1,1_nuvem_recursos_dados_sistema,"GARCIA, Francilene Procópio.",0.006578947368421052,51,8
1,1_nuvem_recursos_dados_sistema,"GHEYI, Rohit Gheyi.",0.006578947368421052,51,2
1,1_nuvem_recursos_dados_sistema,"GHEYI, Rohit.",0.006578947368421052,51,10
1,1_nuvem_recursos_dados_sistema,"GUERRERO, Dalton Dario Serey.",0.006578947368421052,51,2
1,1_nuvem_recursos_dados_sistema,"LIRA, Melina Mongiovi Brito.",0.006578947368421052,51,4
1,1_nuvem_recursos_dados_sistema,"MELCHER, Elmar Uwe Kurt.",0.006578947368421052,51,1
1,1_nuvem_recursos_dados_sistema,"MORAES, Fábio Jorge Almeida.",0.006578947368421052,51,1
1,1_nuvem_recursos_dados_sistema,"Marinho, Leandro Balby",0.006578947368421052,51,1
1,1_nuvem_recursos_dados_sistema,"NICOLLETTI, Pedro Sergio.",0.006578947368421052,51,1
1,1_nuvem_recursos_dados_sistema,"OLIVEIRA, Maxwell Guimarães de.",0.006578947368421052,51,5
1,1_nuvem_recursos_dados_sistema,"PIRES, Carlos Eduardo Santos.",0.006578947368421052,51,9
1,1_nuvem_recursos_dados_sistema,"PROCÓPIO, Francilene García.",0.006578947368421052,51,1
1,1_nuvem_recursos_dados_sistema,"RAMALHO, Franklin de Souza.",0.006578947368421052,51,11
1,1_nuvem_recursos_dados_sistema,"RÊGO, Matheus Gaudencio do.",0.006578947368421052,51,6
1,1_nuvem_recursos_dados_sistema,"SABINO, Melina Mongiovi Cunha Lima.",0.006578947368421052,51,5
1,1_nuvem_recursos_dados_sistema,"SAMPAIO, Lívia Maria Rodrigues Sampaio.",0.006578947368421052,51,1
2,2_alunos_computao_programao_sistema,"CAMPOS, Lívia Maria Rodrigues Sampaio.",0.07971014492753623,44,12
2,2_alunos_computao_programao_sistema,"MASSONI, Tiago Lima.",0.07971014492753623,44,30
2,2_alunos_computao_programao_sistema,"ARAÚJO, Eliane Cristina de.",0.050724637681159424,44,8
2,2_alunos_computao_programao_sistema,"CAMPELO, Claudio Elízio Calazans.",0.050724637681159424,44,22
2,2_alunos_computao_programao_sistema,"ANDRADE, Wilkerson de Lucena.",0.036231884057971016,44,9
2,2_alunos_computao_programao_sistema,"ARAÚJO, Joseana Macêdo Fechine Régis de.",0.036231884057971016,44,13
2,2_alunos_computao_programao_sistema,"BARROS, Marcelo Alves de.",0.036231884057971016,44,7
2,2_alunos_computao_programao_sistema,"BRITO, Andrey Elísio Monteiro.",0.036231884057971016,44,12
2,2_alunos_computao_programao_sistema,"GARCIA, Francilene Procópio.",0.036231884057971016,44,8
2,2_alunos_computao_programao_sistema,"LIRA, Melina Mongiovi Brito.",0.036231884057971016,44,4
2,2_alunos_computao_programao_sistema,"RÊGO, Matheus Gaudencio do.",0.036231884057971016,44,6
2,2_alunos_computao_programao_sistema,"ALVES, Everton Leandro Galdino.",0.021739130434782608,44,9
2,2_alunos_computao_programao_sistema,"ARAÚJO, Elaine Cristina de.",0.021739130434782608,44,1
2,2_alunos_computao_programao_sistema,"BRASILEIRO, Francisco Vilar.",0.021739130434782608,44,7
2,2_alunos_computao_programao_sistema,"BRUNET, João Arthur Monteiro.",0.021739130434782608,44,10
2,2_alunos_computao_programao_sistema,"CAMPOS, Lívia Maria Sampaio.",0.021739130434782608,44,1
2,2_alunos_computao_programao_sistema,"FARIAS, Adalberto Cajueiro de.",0.021739130434782608,44,4
2,2_alunos_computao_programao_sistema,"FECHINE, Joseana Macêdo.",0.021739130434782608,44,4
2,2_alunos_computao_programao_sistema,"GHEYI, Rohit.",0.021739130434782608,44,10
2,2_alunos_computao_programao_sistema,"GOMES, Herman Martins.",0.021739130434782608,44,23
2,2_alunos_computao_programao_sistema,"GORGÔNIO, Kyller Costa.",0.021739130434782608,44,2
2,2_alunos_computao_programao_sistema,"MONTEIRO, João Arthur Brunet.",0.021739130434782608,44,15
2,2_alunos_computao_programao_sistema,"MORAIS, Fábio Jorge Almeida.",0.021739130434782608,44,19
2,2_alunos_computao_programao_sistema,"MOURA, José Antão Beltrão.",0.021739130434782608,44,16
2,2_alunos_computao_programao_sistema,"PIRES, Carlos Eduardo Santos.",0.021739130434782608,44,9
2,2_alunos_computao_programao_sistema,"ALMEIDA, Hyggo Oliveira de.",0.007246376811594203,44,4
2,2_alunos_computao_programao_sistema,"ANDRADE, Nazareno Ferreira de.",0.007246376811594203,44,4
2,2_alunos_computao_programao_sistema,"BAPTISTA, Cláudio de Souza.",0.007246376811594203,44,17
2,2_alunos_computao_programao_sistema,"CAMPOS, Lívia Maria Rodrigues Sampaio",0.007246376811594203,44,1
2,2_alunos_computao_programao_sistema,"FARIA, Roberto Medeiros de.",0.007246376811594203,44,1
2,2_alunos_computao_programao_sistema,"GARCIA, Franceline Procópio.",0.007246376811594203,44,2
2,2_alunos_computao_programao_sistema,"GHEYI, Rohit Gheyi.",0.007246376811594203,44,2
2,2_alunos_computao_programao_sistema,"GOMES, Reinaldo Cézar de Morais.",0.007246376811594203,44,5
2,2_alunos_computao_programao_sistema,"GUERRERO, Dalton Dario Serey.",0.007246376811594203,44,2
2,2_alunos_computao_programao_sistema,"MARINHO, Leandro Balby.",0.007246376811594203,44,7
2,2_alunos_computao_programao_sistema,"MELCHER, Elmar Uwe Kurt.",0.007246376811594203,44,1
2,2_alunos_computao_programao_sistema,"MONGIOVI, Melina.",0.007246376811594203,44,1
2,2_alunos_computao_programao_sistema,"MORAES, Fábio Jorge Almeida.",0.007246376811594203,44,1
2,2_alunos_computao_programao_sistema,"Marinho, Leandro Balby",0.007246376811594203,44,1
2,2_alunos_computao_programao_sistema,"NICOLLETTI, Pedro Sergio.",0.007246376811594203,44,1
2,2_alunos_computao_programao_sistema,"OLIVEIRA, Maxwell Guimarães de.",0.007246376811594203,44,5
2,2_alunos_computao_programao_sistema,"PEREIRA, Eanes Torres.",0.007246376811594203,44,7
2,2_alunos_computao_programao_sistema,"PEREIRA, Thiago Emmanuel da Cunha Silva.",0.007246376811594203,44,2
2,2_alunos_computao_programao_sistema,"PEREIRA, Thiago Emmanuel.",0.007246376811594203,44,2
2,2_alunos_computao_programao_sistema,"PROCÓPIO, Francilene García.",0.007246376811594203,44,1
2,2_alunos_computao_programao_sistema,"RAMALHO, Franklin de Souza.",0.007246376811594203,44,11
2,2_alunos_computao_programao_sistema,"SABINO, Melina Mongiovi Cunha Lima.",0.007246376811594203,44,5
2,2_alunos_computao_programao_sistema,"SAMPAIO, Lívia Maria Rodrigues Sampaio.",0.007246376811594203,44,1
2,2_alunos_computao_programao_sistema,"SILVA, Emmanuel Pereira da Cunha.",0.007246376811594203,44,1
2,2_alunos_computao_programao_sistema,"SILVA, Thiago Emmanuel Pereira da Cunha.",0.007246376811594203,44,16
3,3_software_projetos_cdigo_bugs,"RAMALHO, Franklin de Souza.",0.12686567164179105,42,11
3,3_software_projetos_cdigo_bugs,"MASSONI, Tiago Lima.",0.11194029850746269,42,30
3,3_software_projetos_cdigo_bugs,"RÊGO, Matheus Gaudencio do.",0.06716417910447761,42,6
3,3_software_projetos_cdigo_bugs,"ALVES, Everton Leandro Galdino.",0.05223880597014925,42,9
3,3_software_projetos_cdigo_bugs,"GHEYI, Rohit.",0.05223880597014925,42,10
3,3_software_projetos_cdigo_bugs,"MONTEIRO, João Arthur Brunet.",0.05223880597014925,42,15
3,3_software_projetos_cdigo_bugs,"MOURA, José Antão Beltrão.",0.05223880597014925,42,16
3,3_software_projetos_cdigo_bugs,"BRUNET, João Arthur Monteiro.",0.03731343283582089,42,10
3,3_software_projetos_cdigo_bugs,"CAMPELO, Claudio Elízio Calazans.",0.03731343283582089,42,22
3,3_software_projetos_cdigo_bugs,"ALMEIDA, Hyggo Oliveira de.",0.022388059701492536,42,4
3,3_software_projetos_cdigo_bugs,"BAPTISTA, Cláudio de Souza.",0.022388059701492536,42,17
3,3_software_projetos_cdigo_bugs,"CAMPOS, Lívia Maria Rodrigues Sampaio.",0.022388059701492536,42,12
3,3_software_projetos_cdigo_bugs,"LIRA, Melina Mongiovi Brito.",0.022388059701492536,42,4
3,3_software_projetos_cdigo_bugs,"OLIVEIRA, Maxwell Guimarães de.",0.022388059701492536,42,5
3,3_software_projetos_cdigo_bugs,"PEREIRA, Eanes Torres.",0.022388059701492536,42,7
3,3_software_projetos_cdigo_bugs,"PEREIRA, Thiago Emmanuel.",0.022388059701492536,42,2
3,3_software_projetos_cdigo_bugs,"ANDRADE, Nazareno Ferreira de.",0.007462686567164179,42,4
3,3_software_projetos_cdigo_bugs,"ANDRADE, Wilkerson de Lucena.",0.007462686567164179,42,9
3,3_software_projetos_cdigo_bugs,"ARAÚJO, Elaine Cristina de.",0.007462686567164179,42,1
3,3_software_projetos_cdigo_bugs,"ARAÚJO, Eliane Cristina de.",0.007462686567164179,42,8
3,3_software_projetos_cdigo_bugs,"ARAÚJO, Joseana Macêdo Fechine Régis de.",0.007462686567164179,42,13
3,3_software_projetos_cdigo_bugs,"BARROS, Marcelo Alves de.",0.007462686567164179,42,7
3,3_software_projetos_cdigo_bugs,"BRASILEIRO, Francisco Vilar.",0.007462686567164179,42,7
3,3_software_projetos_cdigo_bugs,"BRITO, Andrey Elísio Monteiro.",0.007462686567164179,42,12
3,3_software_projetos_cdigo_bugs,"CAMPOS, Lívia Maria Rodrigues Sampaio",0.007462686567164179,42,1
3,3_software_projetos_cdigo_bugs,"CAMPOS, Lívia Maria Sampaio.",0.007462686567164179,42,1
3,3_software_projetos_cdigo_bugs,"FARIA, Roberto Medeiros de.",0.007462686567164179,42,1
3,3_software_projetos_cdigo_bugs,"FARIAS, Adalberto Cajueiro de.",0.007462686567164179,42,4
3,3_software_projetos_cdigo_bugs,"FECHINE, Joseana Macêdo.",0.007462686567164179,42,4
3,3_software_projetos_cdigo_bugs,"GARCIA, Franceline Procópio.",0.007462686567164179,42,2
3,3_software_projetos_cdigo_bugs,"GARCIA, Francilene Procópio.",0.007462686567164179,42,8
3,3_software_projetos_cdigo_bugs,"GHEYI, Rohit Gheyi.",0.007462686567164179,42,2
3,3_software_projetos_cdigo_bugs,"GOMES, Herman Martins.",0.007462686567164179,42,23
3,3_software_projetos_cdigo_bugs,"GOMES, Reinaldo Cézar de Morais.",0.007462686567164179,42,5
3,3_software_projetos_cdigo_bugs,"GORGÔNIO, Kyller Costa.",0.007462686567164179,42,2
3,3_software_projetos_cdigo_bugs,"GUERRERO, Dalton Dario Serey.",0.007462686567164179,42,2
3,3_software_projetos_cdigo_bugs,"MARINHO, Leandro Balby.",0.007462686567164179,42,7
3,3_software_projetos_cdigo_bugs,"MELCHER, Elmar Uwe Kurt.",0.007462686567164179,42,1
3,3_software_projetos_cdigo_bugs,"MONGIOVI, Melina.",0.007462686567164179,42,1
3,3_software_projetos_cdigo_bugs,"MORAES, Fábio Jorge Almeida.",0.007462686567164179,42,1
3,3_software_projetos_cdigo_bugs,"MORAIS, Fábio Jorge Almeida.",0.007462686567164179,42,19
3,3_software_projetos_cdigo_bugs,"Marinho, Leandro Balby",0.007462686567164179,42,1
