orientador,topic,topic_label,P_topic_given_orientador,lift_log,n_docs_orientador_total,n_docs_orientador_assigned,coverage_orientador,n_docs_topic
"ARAÚJO, Joseana Macêdo Fechine Régis de.",10,10_oratio_projeto_solid_clean,0.02702702702702703,-0.44503461791653387,14,13,0.9285714285714286,15
"BAPTISTA, Cláudio de Souza.",8,8_dados_meio_aplicativos_anlise,0.24444444444444444,1.6945957207744073,19,17,0.8947368421052632,16
"BAPTISTA, Cláudio de Souza.",1,1_nuvem_recursos_dados_sistema,0.15555555555555556,0.10438917026819447,19,17,0.8947368421052632,51
"BAPTISTA, Cláudio de Souza.",0,0_modelos_dados_linguagem_imagens,0.1111111111111111,-0.25131442828090605,19,17,0.8947368421052632,52
"BAPTISTA, Cláudio de Souza.",4,4_dados_digital_sobre_privacidade,0.1111111111111111,0.03319806940959562,19,17,0.8947368421052632,39
"BAPTISTA, Cláudio de Souza.",3,3_software_projetos_cdigo_bugs,0.06666666666666667,-0.55083095837969,19,17,0.8947368421052632,42
"BAPTISTA, Cláudio de Souza.",5,5_sade_animais_pandemia_dados,0.06666666666666667,-0.4256678154256838,19,17,0.8947368421052632,37
"BAPTISTA, Cláudio de Souza.",6,6_software_empresas_objetivo_vulnerabilidades,0.06666666666666667,-0.3422862064866329,19,17,0.8947368421052632,34
"BAPTISTA, Cláudio de Souza.",7,7_dados_logs_sistemas_banco,0.06666666666666667,0.336472236621213,19,17,0.8947368421052632,17
"BAPTISTA, Cláudio de Souza.",9,9_ensino_alunos_atividades_evaso,0.06666666666666667,0.45783309362548047,19,17,0.8947368421052632,15
"BAPTISTA, Cláudio de Souza.",2,2_alunos_computao_programao_sistema,0.022222222222222223,-1.695428360289623,19,17,0.8947368421052632,44
"BAPTISTA, Cláudio de Souza.",10,10_oratio_projeto_solid_clean,0.022222222222222223,-0.6407791950426291,19,17,0.8947368421052632,15
"BARROS, Marcelo Alves de.",2,2_alunos_computao_programao_sistema,0.2,0.5017962170465965,8,7,0.875,44
"BARROS, Marcelo Alves de.",5,5_sade_animais_pandemia_dados,0.2,0.6729444732424258,8,7,0.875,37
"BARROS, Marcelo Alves de.",4,4_dados_digital_sobre_privacidade,0.12,0.11015911054572408,8,7,0.875,39
"BARROS, Marcelo Alves de.",8,8_dados_meio_aplicativos_anlise,0.12,0.9830994015462654,8,7,0.875,16
"BARROS, Marcelo Alves de.",9,9_ensino_alunos_atividades_evaso,0.12,1.0456197585275995,8,7,0.875,15
"BARROS, Marcelo Alves de.",0,0_modelos_dados_linguagem_imagens,0.04,-1.2729656758128873,8,7,0.875,52
"BARROS, Marcelo Alves de.",1,1_nuvem_recursos_dados_sistema,0.04,-1.253734313885,8,7,0.875,51
