orientador,topic,topic_label,P_topic_given_orientador,lift_log,n_docs_orientador_total,n_docs_orientador_assigned,coverage_orientador,n_docs_topic,n_total,coverage
"OLIVEIRA, Maxwell Guimarães de.",10,10_oratio_projeto_solid_clean,0.14285714285714285,1.2199731456723772,5,5,1.0,15,5,1.0
"OLIVEIRA, Maxwell Guimarães de.",3,3_software_projetos_cdigo_bugs,0.14285714285714285,0.21130909366720677,5,5,1.0,42,5,1.0
"PEREIRA, Eanes Torres.",4,4_dados_digital_sobre_privacidade,0.36,1.2087713992138338,10,7,0.7,39,10,0.7
"PEREIRA, Eanes Torres.",3,3_software_projetos_cdigo_bugs,0.12,0.03695570652242912,10,7,0.7,42,10,0.7
"PEREIRA, Thiago Emmanuel.",3,3_software_projetos_cdigo_bugs,0.2,0.5477813302884199,3,2,0.6666666666666666,42,3,0.6666666666666666
"PEREIRA, Thiago Emmanuel.",1,1_nuvem_recursos_dados_sistema,0.2,0.35570359854910055,3,2,0.6666666666666666,51,3,0.6666666666666666
"PEREIRA, Thiago Emmanuel.",9,9_ensino_alunos_atividades_evaso,0.06666666666666667,0.45783309362548047,3,2,0.6666666666666666,15,3,0.6666666666666666
"PIRES, Carlos Eduardo Santos.",7,7_dados_logs_sistemas_banco,0.2413793103448276,1.6231367567922623,10,9,0.9,17,10,0.9
"PIRES, Carlos Eduardo Santos.",4,4_dados_digital_sobre_privacidade,0.1724137931034483,0.4725647291934415,10,9,0.9,39,10,0.9
"PIRES, Carlos Eduardo Santos.",9,9_ensino_alunos_atividades_evaso,0.10344827586206896,0.8971997534093261,10,9,0.9,15,10,0.9
"RAMALHO, Franklin de Souza.",3,3_software_projetos_cdigo_bugs,0.5151515151515151,1.493925025312256,11,11,1.0,42,11,1.0
"RAMALHO, Franklin de Souza.",0,0_modelos_dados_linguagem_imagens,0.15151515151515152,0.0588405000229336,11,11,1.0,52,11,1.0
"RAMALHO, Franklin de Souza.",10,10_oratio_projeto_solid_clean,0.09090909090909091,0.76798802192932,11,11,1.0,15,11,1.0
"RÊGO, Matheus Gaudencio do.",3,3_software_projetos_cdigo_bugs,0.391304347826087,1.21894960412959,7,6,0.8571428571428571,42,7,0.8571428571428571
"RÊGO, Matheus Gaudencio do.",2,2_alunos_computao_programao_sistema,0.21739130434782608,0.5851778259856475,7,6,0.8571428571428571,44,7,0.8571428571428571
"RÊGO, Matheus Gaudencio do.",9,9_ensino_alunos_atividades_evaso,0.043478260869565216,0.030389078798540685,7,6,0.8571428571428571,15,7,0.8571428571428571
"SABINO, Melina Mongiovi Cunha Lima.",7,7_dados_logs_sistemas_banco,0.23809523809523808,1.6094379124341003,6,5,0.8333333333333334,17,6,0.8333333333333334
"SABINO, Melina Mongiovi Cunha Lima.",8,8_dados_meio_aplicativos_anlise,0.14285714285714285,1.157452788691043,6,5,0.8333333333333334,16,6,0.8333333333333334
"SABINO, Melina Mongiovi Cunha Lima.",6,6_software_empresas_objetivo_vulnerabilidades,0.14285714285714285,0.4198538455602639,6,5,0.8333333333333334,34,6,0.8333333333333334
"SILVA, Thiago Emmanuel Pereira da Cunha.",1,1_nuvem_recursos_dados_sistema,0.4418604651162791,1.148380374456079,20,16,0.8,51,20,0.8
"SILVA, Thiago Emmanuel Pereira da Cunha.",10,10_oratio_projeto_solid_clean,0.16279069767441862,1.3505933280894413,20,16,0.8,15,20,0.8
"SILVA, Thiago Emmanuel Pereira da Cunha.",7,7_dados_logs_sistemas_banco,0.11627906976744186,0.8927602344639609,20,16,0.8,17,20,0.8
